Firstname, Lastname, Street_name, Postalcode, Location, Social, Phone, Email, Position
Ethan, Harrison, Bigglesworth 80, 68990, PepeLaugh, 19720324-2421, 0728806849, ethan.harrison@itscrap.io, Accounting
Rose, Mackenzie, FailFish 55, 74860, PepeLaugh, 19700822-2915, 0726476835, rose.mackenzie@itscrap.io, Accounting
Beatrice, Martin, Kappa 72, 59703, PepeLaugh, 19961203-2841, 0720185857, beatrice.martin@itscrap.io, IT
Katherine, Green, PogChamp 12, 81303, PepeLaugh, 19681102-6572, 0728281222, katherine.green@itscrap.io, Accounting
Edith, Harvey, SwiftRage 66, 30771, TriHard, 19820704-5715, 0726758813, edith.harvey@itscrap.io, Management
Lily, Brown, SMOrc 21, 46912, TriHard, 19801208-5550, 0726893650, lily.brown@itscrap.io, Consultant
Grace, Cook, CoolStoryBro 94, 79925, PepeLaugh, 19961018-4759, 0723906765, grace.cook@itscrap.io, Sales
Molly, Butler, Bigglesworth 4, 70278, PepeLaugh, 19590529-7397, 0721507142, molly.butler@itscrap.io, Accounting
Harry, Gray, PJSalt 29, 71299, PepeLaugh, 19670311-1575, 0721860580, harry.gray@itscrap.io, Sales
Louis, Palmer, MingLee 38, 97622, TriHard, 19750126-4487, 0726597580, louis.palmer@itscrap.io, Management
Leo, Blair, DansGame 11, 46324, PepeLaugh, 19710903-2413, 0721988908, leo.blair@itscrap.io, IT
Joseph, Grant, Kreygasm 75, 97994, PepeLaugh, 19601026-6010, 0721113637, joseph.grant@itscrap.io, Accounting
Benjamin, Graham, SMOrc 64, 25565, PepeLaugh, 19851218-7004, 0720209492, benjamin.graham@itscrap.io, Consultant
Lily, Evans, 4Head 75, 53220, TriHard, 19650618-7714, 0725106721, lily.evans@itscrap.io, Management
Harriet, Gray, monkaS 86, 68376, TriHard, 19580710-8589, 0727693467, harriet.gray@itscrap.io, Consultant
Thomas, Cooper, Bigglesworth 44, 69281, PepeLaugh, 19810201-4214, 0727007558, thomas.cooper@itscrap.io, Management
Isaac, Moore, CoolStoryBro 24, 34323, PepeLaugh, 19730411-2184, 0720616786, isaac.moore@itscrap.io, Sales
Patrick, Cox, 4Head 90, 77349, PepeLaugh, 19940909-5996, 0723383980, patrick.cox@itscrap.io, Consultant
Harriet, Bradley, Jebaited 49, 87169, TriHard, 19711026-5716, 0729739326, harriet.bradley@itscrap.io, Management
Joshua, Henry, FailFish 68, 33825, TriHard, 19801126-6191, 0724116574, joshua.henry@itscrap.io, Management
Lewis, Hancock, FailFish 83, 85746, PepeLaugh, 19920305-9816, 0723232680, lewis.hancock@itscrap.io, IT
Ethan, Morris, Keepo 45, 11261, PepeLaugh, 19580629-9471, 0727732131, ethan.morris@itscrap.io, IT
Margaret, Hopkins, DansGame 24, 30954, TriHard, 19950828-3456, 0724308237, margaret.hopkins@itscrap.io, Accounting
Charlotte, Brown, monkaS 74, 60971, TriHard, 19881002-7594, 0720196050, charlotte.brown@itscrap.io, IT
Lewis, Palmer, FailFish 67, 63543, PepeLaugh, 19780125-2735, 0722381878, lewis.palmer@itscrap.io, Sales
Ethan, Martin, 4Head 4, 77125, PepeLaugh, 19880128-1258, 0729460373, ethan.martin@itscrap.io, Accounting
Madeleine, Lewis, PogChamp 30, 43955, TriHard, 19600628-3872, 0727370964, madeleine.lewis@itscrap.io, Consultant
Alexander, Hancock, PogChamp 44, 99291, TriHard, 20041127-7556, 0722703735, alexander.hancock@itscrap.io, Management
Natalia, Evans, SMOrc 10, 93732, PepeLaugh, 19780416-2267, 0722542850, natalia.evans@itscrap.io, Consultant
Edith, Hopkins, MingLee 5, 45123, TriHard, 20040518-8315, 0728545053, edith.hopkins@itscrap.io, Sales
Simon, Martin, PJSalt 14, 29911, TriHard, 19980312-1141, 0724617892, simon.martin@itscrap.io, IT
Amelia, James, Keepo 18, 64996, TriHard, 20051007-3301, 0729469057, amelia.james@itscrap.io, IT
Annabelle, Bradley, ResidentSleeper 66, 53391, PepeLaugh, 19681006-6155, 0729783283, annabelle.bradley@itscrap.io, IT
Charles, Matthews, SMOrc 32, 21565, TriHard, 20000307-6607, 0722802986, charles.matthews@itscrap.io, IT
Florence, Nelson, monkaS 33, 54372, PepeLaugh, 19961003-5736, 0728273395, florence.nelson@itscrap.io, Accounting
Samuel, Dawson, PogChamp 98, 22683, TriHard, 19780401-4713, 0725855270, samuel.dawson@itscrap.io, Accounting
Miranda, Blair, PJSalt 38, 69591, PepeLaugh, 19850515-1702, 0722510452, miranda.blair@itscrap.io, IT
Oliver, Hamilton, PogChamp 62, 18142, PepeLaugh, 19961230-9168, 0726151716, oliver.hamilton@itscrap.io, Consultant
Jemima, Griffiths, LUL 35, 42199, TriHard, 20040626-2285, 0722618920, jemima.griffiths@itscrap.io, Accounting
Matthew, Bell, FailFish 77, 71680, PepeLaugh, 19790726-8181, 0725220887, matthew.bell@itscrap.io, Accounting
Lucas, Murray, Kreygasm 12, 77531, PepeLaugh, 19600706-2661, 0720201668, lucas.murray@itscrap.io, Sales
Arabella, Moore, DansGame 55, 14237, TriHard, 19830531-1362, 0721247042, arabella.moore@itscrap.io, Management
David, Fisher, CoolStoryBro 82, 48111, TriHard, 19901217-4378, 0722883307, david.fisher@itscrap.io, Management
Tristan, Nelson, Bigglesworth 89, 15449, PepeLaugh, 19601127-3601, 0724591536, tristan.nelson@itscrap.io, Accounting
Rebecca, Patel, PogChamp 57, 62225, PepeLaugh, 19890306-2070, 0724620093, rebecca.patel@itscrap.io, Sales
Catherine, Lawrence, DansGame 78, 81751, TriHard, 19651022-2784, 0720640837, catherine.lawrence@itscrap.io, Consultant
Theodore, Marshall, Kreygasm 14, 14819, TriHard, 19900212-1713, 0722607146, theodore.marshall@itscrap.io, Accounting
Margaret, Edwards, CoolStoryBro 63, 71713, TriHard, 19951217-8998, 0726456322, margaret.edwards@itscrap.io, Sales
Georgina, Freeman, BibleThump 80, 90435, PepeLaugh, 19981225-9217, 0722928842, georgina.freeman@itscrap.io, Accounting
Ethan, Gibson, 4Head 5, 56761, PepeLaugh, 19630304-6769, 0724886405, ethan.gibson@itscrap.io, Management
Stephen, Foster, LUL 45, 73179, TriHard, 19870817-3897, 0728538321, stephen.foster@itscrap.io, IT
Annabelle, Banks, PogChamp 4, 71994, PepeLaugh, 19781127-4917, 0723598551, annabelle.banks@itscrap.io, Management
Jemima, Brown, Kappa 50, 84871, PepeLaugh, 19710928-9009, 0728346880, jemima.brown@itscrap.io, Accounting
Matthew, Jenkins, Bigglesworth 9, 80399, TriHard, 19780330-7051, 0729095301, matthew.jenkins@itscrap.io, Consultant
Benjamin, James, monkaS 63, 86432, PepeLaugh, 19611019-6116, 0729757222, benjamin.james@itscrap.io, Sales
Alfred, Freeman, CoolStoryBro 93, 97217, TriHard, 19580223-4807, 0729960532, alfred.freeman@itscrap.io, Sales
Georgina, Cross, NotLikeThis 31, 47731, TriHard, 19861126-4628, 0725372004, georgina.cross@itscrap.io, Accounting
Evelyn, Jones, PogChamp 76, 30145, TriHard, 19790410-6105, 0722664827, evelyn.jones@itscrap.io, Consultant
Daniel, Davis, FailFish 93, 35748, PepeLaugh, 19800810-9910, 0729703857, daniel.davis@itscrap.io, IT
Miranda, Butler, SwiftRage 75, 78522, PepeLaugh, 19780531-8017, 0721062129, miranda.butler@itscrap.io, Consultant
Leo, Nicholson, Keepo 89, 95334, PepeLaugh, 19880502-2899, 0729750352, leo.nicholson@itscrap.io, IT
Harry, Matthews, Bigglesworth 2, 29491, PepeLaugh, 19701007-2452, 0726071478, harry.matthews@itscrap.io, Management
Frederick, Lewis, SwiftRage 45, 10160, PepeLaugh, 19930618-2520, 0723897024, frederick.lewis@itscrap.io, Consultant
Louisa, Green, CoolStoryBro 37, 19712, PepeLaugh, 20000917-1434, 0724105292, louisa.green@itscrap.io, IT
